Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-06T16:23:20.982;84
2025-11-06T16:23:22.006;87
2025-11-06T16:23:22.981;89;12,9
2025-11-06T16:23:24.003;92;11,8
2025-11-06T16:23:24.980;94;10,9
2025-11-06T16:23:26.051;94;10,2
2025-11-06T16:23:26.987;90;28,6
2025-11-06T16:23:28.002;89;27,2
2025-11-06T16:23:28.976;88;25,8
2025-11-06T16:23:30.003;89;25,0
2025-11-06T16:23:31.030;90;24,5
2025-11-06T16:23:31.997;92;23,7
2025-11-06T16:23:32.976;93;23,0
2025-11-06T16:23:34.000;95;22,1
2025-11-06T16:23:35.024;96;21,1
2025-11-06T16:23:35.998;95;21,6
2025-11-06T16:23:36.973;95;21,4
2025-11-06T16:23:38.048;93;20,6
2025-11-06T16:23:38.973;91;21,8
2025-11-06T16:23:39.996;89;21,2
2025-11-06T16:23:41.016;88;21,0
2025-11-06T16:23:41.996;88;21,1
2025-11-06T16:23:42.971;88;21,0
2025-11-06T16:23:43.995;89;21,1
2025-11-06T16:23:44.980;89;21,1
2025-11-06T16:23:45.994;89;17,7
2025-11-06T16:23:47.163;88;14,6
2025-11-06T16:23:47.997;88;14,6
2025-11-06T16:23:48.967;87;13,2
2025-11-06T16:23:50.006;87;13,0
2025-11-06T16:23:51.012;88;12,4
2025-11-06T16:23:52.038;88;12,3
2025-11-06T16:23:53.014;88;12,6
2025-11-06T16:23:53.987;87;12,6
2025-11-06T16:23:55.012;87;12,7
2025-11-06T16:23:55.986;87;11,3
2025-11-06T16:23:57.011;88;11,1
2025-11-06T16:23:57.985;88;11,1
2025-11-06T16:23:59.119;90;8,2
2025-11-06T16:23:59.985;90;8,2
2025-11-06T16:24:01.007;90;8,3
2025-11-06T16:24:02.032;89;11,1
2025-11-06T16:24:03.006;88;11,2
2025-11-06T16:24:03.994;86;11,1
2025-11-06T16:24:05.005;86;11,1
2025-11-06T16:24:06.079;86;11,3
2025-11-06T16:24:07.004;86;11,2
2025-11-06T16:24:07.982;86;11,3
2025-11-06T16:24:09.100;87;11,9
2025-11-06T16:24:09.978;88;11,9
2025-11-06T16:24:11.003;88;12,0
2025-11-06T16:24:11.983;88;12,4
2025-11-06T16:24:13.001;87;12,9
2025-11-06T16:24:13.976;85;13,3
2025-11-06T16:24:15.000;84;13,3
2025-11-06T16:24:15.975;84;13,3
2025-11-06T16:24:16.997;84;13,3
2025-11-06T16:24:17.972;85;15,6
2025-11-06T16:24:18.997;86;15,4
2025-11-06T16:24:20.021;88;15,4
2025-11-06T16:24:20.994;89;15,4
2025-11-06T16:24:21.980;89;13,4
2025-11-06T16:24:22.989;87;18,0
2025-11-06T16:24:23.967;86;19,1
2025-11-06T16:24:25.091;85;19,1
2025-11-06T16:24:25.968;83;18,8
2025-11-06T16:24:26.992;83;18,8
2025-11-06T16:24:27.968;84;20,7
2025-11-06T16:24:28.990;85;20,7
2025-11-06T16:24:30.014;86;20,3
2025-11-06T16:24:31.086;86;20,3
2025-11-06T16:24:32.014;87;19,9
2025-11-06T16:24:32.988;87;20,3
2025-11-06T16:24:34.062;86;19,8
2025-11-06T16:24:34.987;87;19,9
2025-11-06T16:24:36.022;87;19,8
2025-11-06T16:24:36.986;88;20,0
2025-11-06T16:24:38.011;88;18,7
2025-11-06T16:24:38.985;88;18,2
2025-11-06T16:24:40.057;87;22,0
2025-11-06T16:24:40.985;86;22,0
2025-11-06T16:24:42.008;85;22,1
2025-11-06T16:24:42.982;84;21,7
2025-11-06T16:24:44.007;84;17,3
