Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-06T15:59:15.015;103
2025-11-06T15:59:15.980;101
2025-11-06T15:59:17.006;101;6,0
2025-11-06T15:59:18.079;102;5,2
2025-11-06T15:59:19.005;102;4,8
2025-11-06T15:59:20.126;100;8,5
2025-11-06T15:59:21.004;98;8,6
2025-11-06T15:59:22.027;98;8,2
2025-11-06T15:59:23.004;99;9,6
2025-11-06T15:59:24.027;100;9,1
2025-11-06T15:59:25.002;102;9,9
2025-11-06T15:59:26.034;104;9,7
2025-11-06T15:59:27.000;105;10,0
2025-11-06T15:59:28.025;107;9,6
2025-11-06T15:59:29.122;107;9,8
2025-11-06T15:59:30.071;103;14,7
2025-11-06T15:59:31.000;99;14,2
2025-11-06T15:59:32.021;99;13,9
2025-11-06T15:59:32.998;99;14,2
2025-11-06T15:59:34.022;101;14,8
2025-11-06T15:59:35.015;101;14,8
2025-11-06T15:59:36.111;102;14,8
2025-11-06T15:59:37.037;100;15,6
2025-11-06T15:59:38.102;99;15,4
2025-11-06T15:59:38.993;98;15,5
2025-11-06T15:59:40.014;98;15,0
2025-11-06T15:59:41.086;97;15,2
2025-11-06T15:59:42.011;95;17,6
2025-11-06T15:59:42.986;93;17,1
2025-11-06T15:59:44.011;92;17,1
2025-11-06T15:59:44.986;91;16,9
2025-11-06T15:59:46.010;91;16,9
2025-11-06T15:59:46.985;92;17,4
2025-11-06T15:59:48.007;92;16,7
2025-11-06T15:59:48.983;92;13,7
2025-11-06T15:59:50.006;89;19,7
2025-11-06T15:59:50.981;88;19,7
2025-11-06T15:59:52.005;87;19,7
2025-11-06T15:59:53.028;84;19,4
2025-11-06T15:59:54.054;84;19,3
2025-11-06T15:59:55.030;84;22,2
2025-11-06T15:59:56.099;87;22,9
2025-11-06T15:59:56.976;92;24,0
2025-11-06T15:59:58.005;94;24,1
2025-11-06T15:59:58.975;96;24,1
2025-11-06T16:00:00.004;97;24,0
2025-11-06T16:00:01.023;98;51,6
2025-11-06T16:00:01.997;98;52,5
2025-11-06T16:00:03.021;97;51,8
2025-11-06T16:00:04.050;93;53,9
2025-11-06T16:00:05.021;90;55,2
2025-11-06T16:00:06.001;90;55,6
2025-11-06T16:00:07.020;92;56,2
2025-11-06T16:00:07.993;95;56,1
2025-11-06T16:00:09.029;97;56,2
2025-11-06T16:00:10.095;101;54,5
2025-11-06T16:00:11.018;102;54,5
2025-11-06T16:00:11.993;97;58,0
2025-11-06T16:00:13.019;95;58,0
2025-11-06T16:00:13.990;93;57,1
2025-11-06T16:00:15.017;92;57,1
2025-11-06T16:00:15.990;92;56,6
2025-11-06T16:00:17.016;93;56,1
2025-11-06T16:00:17.994;93;56,1
2025-11-06T16:00:19.012;96;55,9
2025-11-06T16:00:19.992;99;31,5
2025-11-06T16:00:21.221;102;29,7
2025-11-06T16:00:21.988;103;27,7
2025-11-06T16:00:23.011;102;25,1
2025-11-06T16:00:23.988;101;25,1
2025-11-06T16:00:25.058;98;25,4
2025-11-06T16:00:26.093;92;26,9
2025-11-06T16:00:27.013;87;27,8
2025-11-06T16:00:27.985;86;27,7
2025-11-06T16:00:29.010;85;28,2
2025-11-06T16:00:29.982;86;28,7
2025-11-06T16:00:31.007;87;21,8
2025-11-06T16:00:31.982;88;21,8
2025-11-06T16:00:33.006;89;21,7
2025-11-06T16:00:34.087;89;22,0
2025-11-06T16:00:35.212;89;22,0
2025-11-06T16:00:35.980;87;22,7
2025-11-06T16:00:37.003;86;22,6
2025-11-06T16:00:38.028;85;22,5
2025-11-06T16:00:39.050;84;22,8
2025-11-06T16:00:39.976;83;23,2
2025-11-06T16:00:41.050;83;23,5
2025-11-06T16:00:42.121;84;24,5
2025-11-06T16:00:43.051;85;24,6
2025-11-06T16:00:44.023;86;24,5
2025-11-06T16:00:45.000;87;22,4
2025-11-06T16:00:46.021;88;19,9
2025-11-06T16:00:46.997;87;18,2
2025-11-06T16:00:48.021;87;18,2
2025-11-06T16:00:49.052;87;18,2
2025-11-06T16:00:50.021;87;16,6
2025-11-06T16:00:50.994;86;16,9
2025-11-06T16:00:52.019;85;15,8
2025-11-06T16:00:53.056;86;17,0
2025-11-06T16:00:54.019;87;16,6
2025-11-06T16:00:54.992;88;16,5
2025-11-06T16:00:56.015;88;16,2
2025-11-06T16:00:56.991;87;16,0
2025-11-06T16:00:58.127;87;15,0
2025-11-06T16:00:59.039;87;14,9
2025-11-06T16:01:00.018;87;14,1
2025-11-06T16:01:00.989;87;13,7
2025-11-06T16:01:02.014;87;11,9
2025-11-06T16:01:02.998;87;11,7
2025-11-06T16:01:04.011;86;14,2
2025-11-06T16:01:05.081;85;14,2
2025-11-06T16:01:06.015;84;14,3
2025-11-06T16:01:06.998;84;14,0
2025-11-06T16:01:08.008;84;14,1
2025-11-06T16:01:09.130;85;15,3
2025-11-06T16:01:10.056;86;15,7
2025-11-06T16:01:11.029;89;15,3
2025-11-06T16:01:12.014;91;15,4
2025-11-06T16:01:12.980;93;13,8
2025-11-06T16:01:14.002;93;14,5
2025-11-06T16:01:14.979;92;16,9
2025-11-06T16:01:16.053;91;16,0
2025-11-06T16:01:17.029;90;16,1
2025-11-06T16:01:18.003;88;17,5
2025-11-06T16:01:18.974;87;17,5
2025-11-06T16:01:20.052;87;18,8
2025-11-06T16:01:21.038;89;19,5
2025-11-06T16:01:22.000;90;19,5
