Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2025-11-24T17:35:10.544;89
2025-11-24T17:35:11.492;88
2025-11-24T17:35:12.533;89;13,8
2025-11-24T17:35:13.492;90;13,5
2025-11-24T17:35:14.535;91;11,4
2025-11-24T17:35:15.534;91;12,6
2025-11-24T17:35:16.534;91;13,8
2025-11-24T17:35:17.492;89;12,7
2025-11-24T17:35:18.492;89;12,8
2025-11-24T17:35:19.494;88;11,8
2025-11-24T17:35:20.494;89;15,4
2025-11-24T17:35:21.493;91;16,2
2025-11-24T17:35:22.493;93;15,7
2025-11-24T17:35:23.533;94;15,3
2025-11-24T17:35:24.494;94;15,3
2025-11-24T17:35:25.536;94;15,5
2025-11-24T17:35:26.494;92;15,0
2025-11-24T17:35:27.494;92;14,5
2025-11-24T17:35:28.495;92;14,6
2025-11-24T17:35:29.495;94;14,7
2025-11-24T17:35:30.533;95;14,8
2025-11-24T17:35:31.495;97;14,0
2025-11-24T17:35:32.533;97;13,8
2025-11-24T17:35:33.494;96;14,2
2025-11-24T17:35:34.494;89;22,1
2025-11-24T17:35:35.500;81;31,9
2025-11-24T17:35:36.677;80;31,9
2025-11-24T17:35:37.895;80;33,4
2025-11-24T17:35:38.704;81;33,9
2025-11-24T17:35:39.513;83;35,2
2025-11-24T17:35:41.540;90;34,9
2025-11-24T17:35:41.542;92;34,9
2025-11-24T17:35:42.754;94;34,9
2025-11-24T17:35:43.565;95;34,9
2025-11-24T17:35:44.781;87;43,4
2025-11-24T17:35:45.586;86;43,3
2025-11-24T17:35:46.804;84;43,6
2025-11-24T17:35:48.424;82;43,7
2025-11-24T17:35:48.830;82;44,0
2025-11-24T17:35:49.639;82;44,7
2025-11-24T17:35:50.853;85;45,6
2025-11-24T17:35:51.660;87;45,6
2025-11-24T17:35:52.880;89;45,6
2025-11-24T17:35:53.690;88;46,4
2025-11-24T17:35:54.498;88;36,3
2025-11-24T17:35:55.713;88;36,3
2025-11-24T17:35:56.522;88;36,3
2025-11-24T17:35:58.143;88;34,8
2025-11-24T17:35:58.550;87;34,8
2025-11-24T17:35:59.765;86;33,1
2025-11-24T17:36:00.572;86;32,9
2025-11-24T17:36:01.789;87;32,5
2025-11-24T17:36:02.601;87;32,7
2025-11-24T17:36:03.815;89;31,4
2025-11-24T17:36:05.432;90;19,8
2025-11-24T17:36:05.838;91;19,4
2025-11-24T17:36:06.647;92;19,4
2025-11-24T17:36:08.268;94;19,1
2025-11-24T17:36:08.669;93;18,9
2025-11-24T17:36:09.889;90;16,6
2025-11-24T17:36:11.104;90;15,9
2025-11-24T17:36:11.508;89;15,8
2025-11-24T17:36:12.723;89;15,8
2025-11-24T17:36:13.535;89;13,1
2025-11-24T17:36:14.749;89;13,5
2025-11-24T17:36:16.772;90;13,4
2025-11-24T17:36:16.774;90;13,4
2025-11-24T17:36:17.584;90;12,1
2025-11-24T17:36:19.204;91;12,2
2025-11-24T17:36:19.605;92;12,5
2025-11-24T17:36:20.823;92;12,5
2025-11-24T17:36:21.635;92;11,8
2025-11-24T17:36:22.847;91;14,1
2025-11-24T17:36:24.065;89;13,9
2025-11-24T17:36:24.873;89;14,3
2025-11-24T17:36:26.089;88;14,1
2025-11-24T17:36:26.899;86;14,1
2025-11-24T17:36:27.708;86;13,8
2025-11-24T17:36:28.922;87;13,4
2025-11-24T17:36:29.734;90;15,3
2025-11-24T17:36:30.544;93;15,6
2025-11-24T17:36:31.759;94;15,6
2025-11-24T17:36:32.569;93;17,4
2025-11-24T17:36:34.593;93;17,0
2025-11-24T17:36:34.596;93;17,3
2025-11-24T17:36:35.810;93;17,3
2025-11-24T17:36:37.024;95;17,5
2025-11-24T17:36:37.834;95;17,5
2025-11-24T17:36:38.643;93;19,1
2025-11-24T17:36:39.858;91;20,6
2025-11-24T17:36:40.666;90;20,4
2025-11-24T17:36:41.885;90;19,9
2025-11-24T17:36:43.099;91;21,3
2025-11-24T17:36:43.500;92;21,0
2025-11-24T17:36:44.720;93;21,0
2025-11-24T17:36:45.528;90;23,6
2025-11-24T17:36:46.744;88;25,9
2025-11-24T17:36:47.555;86;24,8
2025-11-24T17:36:48.772;86;25,2
2025-11-24T17:36:49.576;87;25,7
2025-11-24T17:36:50.794;87;25,7
2025-11-24T17:36:52.008;87;25,8
2025-11-24T17:36:52.819;86;24,4
2025-11-24T17:36:54.843;86;24,4
2025-11-24T17:36:54.845;88;24,7
2025-11-24T17:36:55.647;88;24,6
2025-11-24T17:36:56.867;89;24,5
2025-11-24T17:36:57.679;86;31,5
2025-11-24T17:36:58.893;85;31,5
2025-11-24T17:36:59.703;84;29,9
2025-11-24T17:37:01.324;84;31,1
2025-11-24T17:37:02.133;86;31,6
2025-11-24T17:37:02.943;87;31,1
2025-11-24T17:37:03.749;87;31,1
2025-11-24T17:37:04.968;87;31,9
2025-11-24T17:37:06.590;86;30,0
2025-11-24T17:37:06.592;87;28,5
2025-11-24T17:37:07.803;89;29,2
2025-11-24T17:37:10.637;90;28,3
2025-11-24T17:37:10.641;90;27,3
2025-11-24T17:37:10.643;89;28,7
2025-11-24T17:37:11.855;88;28,6
2025-11-24T17:37:12.660;88;28,7
2025-11-24T17:37:13.875;89;29,0
2025-11-24T17:37:15.093;89;28,7
2025-11-24T17:37:15.500;90;28,8
2025-11-24T17:37:16.713;91;28,8
