Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-02-26T16:03:18.318;84
2026-02-26T16:03:19.315;84
2026-02-26T16:03:20.353;81
2026-02-26T16:03:21.315;81;61,7
2026-02-26T16:03:22.356;81;55,2
2026-02-26T16:03:23.316;81;51,1
2026-02-26T16:03:24.315;81;44,2
2026-02-26T16:03:25.315;80;45,3
2026-02-26T16:03:26.314;79;41,0
2026-02-26T16:03:27.356;80;39,8
2026-02-26T16:03:28.315;80;40,6
2026-02-26T16:03:29.315;82;38,9
2026-02-26T16:03:30.315;82;37,7
2026-02-26T16:03:31.315;82;37,2
2026-02-26T16:03:32.315;81;36,3
2026-02-26T16:03:33.437;81;35,4
2026-02-26T16:03:34.314;82;35,0
2026-02-26T16:03:35.316;82;33,4
2026-02-26T16:03:36.315;82;32,9
2026-02-26T16:03:37.316;81;31,8
2026-02-26T16:03:38.354;81;31,2
2026-02-26T16:03:39.355;81;31,4
2026-02-26T16:03:40.316;82;24,5
2026-02-26T16:03:41.315;82;23,8
2026-02-26T16:03:42.315;82;22,5
2026-02-26T16:03:43.317;82;21,1
2026-02-26T16:03:44.412;81;27,0
2026-02-26T16:03:45.625;80;27,1
2026-02-26T16:03:46.837;79;27,1
2026-02-26T16:03:47.652;78;25,3
2026-02-26T16:03:48.462;78;25,7
2026-02-26T16:03:50.078;78;25,5
2026-02-26T16:03:50.482;78;23,8
2026-02-26T16:03:51.292;83;25,2
2026-02-26T16:03:52.505;88;26,4
2026-02-26T16:03:53.317;90;25,6
2026-02-26T16:03:55.746;92;25,6
2026-02-26T16:03:55.746;94;25,6
2026-02-26T16:03:56.557;95;54,7
2026-02-26T16:03:58.178;94;55,3
2026-02-26T16:03:58.586;93;55,8
2026-02-26T16:03:59.396;89;55,7
2026-02-26T16:04:01.016;85;56,9
2026-02-26T16:04:01.826;85;57,2
2026-02-26T16:04:03.038;86;58,1
2026-02-26T16:04:03.446;87;58,5
2026-02-26T16:04:04.661;88;58,4
2026-02-26T16:04:05.468;90;58,6
2026-02-26T16:04:06.685;91;75,2
2026-02-26T16:04:07.496;90;73,2
2026-02-26T16:04:08.308;88;74,9
2026-02-26T16:04:09.521;87;76,6
2026-02-26T16:04:10.332;86;76,5
2026-02-26T16:04:11.547;85;76,4
2026-02-26T16:04:13.165;84;76,3
2026-02-26T16:04:13.571;83;76,2
2026-02-26T16:04:14.382;82;76,0
2026-02-26T16:04:15.595;83;75,9
2026-02-26T16:04:16.407;84;76,0
2026-02-26T16:04:18.021;85;76,0
2026-02-26T16:04:18.437;83;64,5
2026-02-26T16:04:19.646;81;65,0
2026-02-26T16:04:20.457;80;65,0
2026-02-26T16:04:22.483;78;65,1
2026-02-26T16:04:22.486;79;65,7
2026-02-26T16:04:23.290;79;65,8
2026-02-26T16:04:24.506;80;65,3
2026-02-26T16:04:25.317;80;64,8
2026-02-26T16:04:26.530;79;65,6
