left,9,97,,,'1762983792135'
left,9,88,,,'1762983794116'
left,9,88,,,'1762983800138'
right,9,98,,,'1762983801881'
right,9,104,,,'1762983802892'
left,9,85,,,'1762983806159'
right,9,89,,,'1762983807907'
right,9,88,,,'1762983808918'
right,9,86,,,'1762983809890'
right,9,86,,,'1762983810900'
left,9,84,,,'1762983812181'
right,9,75,,,'1762983812922'
right,9,85,,,'1762983813894'
left,9,83,,,'1762983814162'
right,9,84,,,'1762983814905'
right,9,83,,,'1762983816926'
right,9,83,,,'1762983817898'
right,9,84,,,'1762983818909'
left,9,83,,,'1762983819173'
left,9,82,,,'1762983820183'
right,9,81,,,'1762983822913'
right,9,80,,,'1762983824935'
right,9,79,,,'1762983825907'
left,9,79,,,'1762983826205'
right,9,80,,,'1762983826918'
right,9,80,,,'1762983827928'
right,9,82,,,'1762983828978'
right,9,83,,,'1762983829989'
right,9,85,,,'1762983831972'
left,9,83,,,'1762983832227'
right,9,85,,,'1762983832982'
right,9,85,,,'1762983833993'
right,9,84,,,'1762983835976'
right,9,83,,,'1762983836986'
left,9,82,,,'1762983837238'
left,9,83,,,'1762983838248'
right,9,84,,,'1762983838969'
right,9,85,,,'1762983840990'
right,9,86,,,'1762983842001'
right,9,87,,,'1762983842973'
left,9,88,,,'1762983843259'
