Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-04T15:40:58.196;85
2026-03-04T15:40:59.186;85
2026-03-04T15:41:00.146;84;7,6
2026-03-04T15:41:01.186;84;19,8
2026-03-04T15:41:02.146;86;27,1
2026-03-04T15:41:03.186;88;26,9
2026-03-04T15:41:04.145;90;25,4
2026-03-04T15:41:05.146;88;36,2
2026-03-04T15:41:06.146;82;48,2
2026-03-04T15:41:07.185;80;44,6
2026-03-04T15:41:08.187;80;44,9
2026-03-04T15:41:09.147;83;47,1
2026-03-04T15:41:10.147;84;45,8
2026-03-04T15:41:11.148;86;43,4
2026-03-04T15:41:12.146;86;42,5
2026-03-04T15:41:13.148;87;40,6
2026-03-04T15:41:14.146;88;39,8
2026-03-04T15:41:15.147;89;38,3
2026-03-04T15:41:16.186;89;37,6
2026-03-04T15:41:17.187;90;36,2
2026-03-04T15:41:18.147;90;36,4
2026-03-04T15:41:19.148;91;36,3
2026-03-04T15:41:20.147;90;37,2
2026-03-04T15:41:21.148;88;36,3
2026-03-04T15:41:22.147;88;34,9
2026-03-04T15:41:23.150;89;34,7
2026-03-04T15:41:24.468;89;34,7
2026-03-04T15:41:25.683;86;35,1
2026-03-04T15:41:26.491;84;27,7
2026-03-04T15:41:27.314;83;27,7
2026-03-04T15:41:28.518;84;29,2
2026-03-04T15:41:29.325;86;26,7
2026-03-04T15:41:30.137;87;26,7
2026-03-04T15:41:31.353;86;28,2
2026-03-04T15:41:32.567;86;28,0
2026-03-04T15:41:33.376;86;28,0
2026-03-04T15:41:34.189;88;29,1
2026-03-04T15:41:35.402;89;29,1
2026-03-04T15:41:36.213;87;29,1
2026-03-04T15:41:37.832;80;41,4
2026-03-04T15:41:38.237;79;41,4
2026-03-04T15:41:39.454;80;44,4
2026-03-04T15:41:40.265;81;45,0
2026-03-04T15:41:41.480;83;44,2
2026-03-04T15:41:42.693;83;44,2
2026-03-04T15:41:43.907;85;44,2
2026-03-04T15:41:44.310;86;44,9
2026-03-04T15:41:45.527;88;44,9
2026-03-04T15:41:46.743;88;41,5
2026-03-04T15:41:47.151;86;48,2
2026-03-04T15:41:48.362;84;46,4
2026-03-04T15:41:49.576;84;46,7
2026-03-04T15:41:50.386;85;47,9
2026-03-04T15:41:51.197;86;47,8
2026-03-04T15:41:52.412;86;47,1
2026-03-04T15:41:54.437;87;47,1
2026-03-04T15:41:54.439;89;47,1
2026-03-04T15:41:55.248;91;47,1
2026-03-04T15:41:57.271;90;47,1
2026-03-04T15:41:57.677;86;46,3
2026-03-04T15:41:58.484;85;46,3
2026-03-04T15:41:59.306;86;46,0
2026-03-04T15:42:01.726;87;45,3
2026-03-04T15:42:02.132;87;45,3
2026-03-04T15:42:02.942;87;45,3
2026-03-04T15:42:03.346;90;45,8
2026-03-04T15:42:04.967;91;45,1
2026-03-04T15:42:05.777;90;45,4
2026-03-04T15:42:06.182;90;45,1
2026-03-04T15:42:07.396;91;37,8
2026-03-04T15:42:08.206;91;37,8
2026-03-04T15:42:09.827;90;35,6
2026-03-04T15:42:10.232;89;35,6
2026-03-04T15:42:11.851;89;36,5
2026-03-04T15:42:12.257;90;37,2
2026-03-04T15:42:13.471;92;36,3
2026-03-04T15:42:14.300;92;36,3
2026-03-04T15:42:15.498;93;36,2
2026-03-04T15:42:16.306;94;23,0
2026-03-04T15:42:17.518;95;23,0
2026-03-04T15:42:18.738;94;20,4
2026-03-04T15:42:19.143;91;20,5
2026-03-04T15:42:20.356;89;20,5
2026-03-04T15:42:21.168;90;21,4
2026-03-04T15:42:22.382;90;20,2
2026-03-04T15:42:23.192;89;20,2
2026-03-04T15:42:24.812;89;20,2
2026-03-04T15:42:25.218;92;20,7
2026-03-04T15:42:26.837;92;20,7
2026-03-04T15:42:28.455;90;21,0
2026-03-04T15:42:28.456;82;33,9
2026-03-04T15:42:30.076;81;32,5
2026-03-04T15:42:30.480;82;34,3
2026-03-04T15:42:31.305;82;33,3
2026-03-04T15:42:32.506;83;32,5
2026-03-04T15:42:33.316;84;33,0
2026-03-04T15:42:34.128;87;34,8
2026-03-04T15:42:35.342;89;34,8
2026-03-04T15:42:36.555;91;35,2
2026-03-04T15:42:37.368;90;35,9
2026-03-04T15:42:38.582;90;34,6
2026-03-04T15:42:39.390;91;34,1
2026-03-04T15:42:40.202;89;34,5
2026-03-04T15:42:41.418;88;34,1
2026-03-04T15:42:42.229;87;34,1
2026-03-04T15:42:43.441;88;36,4
2026-03-04T15:42:44.657;90;35,7
2026-03-04T15:42:45.872;90;35,7
2026-03-04T15:42:46.682;90;35,5
2026-03-04T15:42:47.897;91;23,9
2026-03-04T15:42:48.309;92;23,9
2026-03-04T15:42:49.516;90;22,8
2026-03-04T15:42:50.326;83;30,8
2026-03-04T15:42:51.541;82;30,8
2026-03-04T15:42:52.353;82;31,5
2026-03-04T15:42:53.163;83;30,4
2026-03-04T15:42:54.377;84;29,8
2026-03-04T15:42:55.188;87;31,1
2026-03-04T15:42:57.212;89;30,7
2026-03-04T15:42:57.215;91;29,8
2026-03-04T15:42:58.427;90;31,5
2026-03-04T15:42:59.238;90;31,5
2026-03-04T15:43:00.452;91;31,2
2026-03-04T15:43:01.268;91;31,0
2026-03-04T15:43:02.477;90;31,5
2026-03-04T15:43:04.098;89;28,8
2026-03-04T15:43:04.907;90;29,3
2026-03-04T15:43:05.717;90;29,3
2026-03-04T15:43:06.521;90;30,0
2026-03-04T15:43:07.337;89;29,7
2026-03-04T15:43:08.147;90;30,8
2026-03-04T15:43:09.363;91;21,2
2026-03-04T15:43:10.173;91;21,5
2026-03-04T15:43:11.386;91;20,4
2026-03-04T15:43:12.602;92;20,3
2026-03-04T15:43:13.818;94;20,2
2026-03-04T15:43:14.627;93;19,8
2026-03-04T15:43:15.436;91;26,1
2026-03-04T15:43:16.247;88;26,4
2026-03-04T15:43:17.459;86;26,4
2026-03-04T15:43:18.277;85;24,4
2026-03-04T15:43:19.484;85;26,6
2026-03-04T15:43:20.312;86;27,0
2026-03-04T15:43:21.509;89;27,3
2026-03-04T15:43:22.726;90;27,3
2026-03-04T15:43:23.133;91;26,9
2026-03-04T15:43:24.344;92;26,9
2026-03-04T15:43:25.159;91;26,5
2026-03-04T15:43:26.372;91;26,5
2026-03-04T15:43:27.181;90;26,6
2026-03-04T15:43:28.802;90;25,3
2026-03-04T15:43:29.207;89;25,1
2026-03-04T15:43:30.421;90;25,4
2026-03-04T15:43:31.230;90;24,6
2026-03-04T15:43:32.851;91;24,6
2026-03-04T15:43:33.662;93;24,6
2026-03-04T15:43:34.470;93;15,9
2026-03-04T15:43:36.092;91;16,0
2026-03-04T15:43:36.495;91;16,2
2026-03-04T15:43:37.312;91;16,3
2026-03-04T15:43:38.518;90;12,3
2026-03-04T15:43:40.548;91;11,8
2026-03-04T15:43:40.551;92;9,7
2026-03-04T15:43:41.356;92;9,7
2026-03-04T15:43:42.167;94;10,0
2026-03-04T15:43:43.381;95;10,0
2026-03-04T15:43:44.192;94;9,1
2026-03-04T15:43:45.406;95;9,1
2026-03-04T15:43:46.217;96;9,2
2026-03-04T15:43:47.427;94;9,2
2026-03-04T15:43:49.052;91;15,7
2026-03-04T15:43:51.076;91;15,3
2026-03-04T15:43:51.078;91;16,6
2026-03-04T15:43:51.479;91;16,6
2026-03-04T15:43:52.314;92;16,6
2026-03-04T15:43:53.504;93;16,7
2026-03-04T15:43:54.315;93;16,1
2026-03-04T15:43:55.125;95;16,0
2026-03-04T15:43:56.746;95;16,0
2026-03-04T15:43:57.151;97;16,0
2026-03-04T15:43:59.581;97;15,5
2026-03-04T15:43:59.985;95;16,8
2026-03-04T15:44:00.797;90;23,0
2026-03-04T15:44:01.202;88;22,7
2026-03-04T15:44:02.416;87;22,7
2026-03-04T15:44:03.227;86;23,0
2026-03-04T15:44:04.441;85;23,1
2026-03-04T15:44:06.061;84;23,0
2026-03-04T15:44:06.871;85;23,8
2026-03-04T15:44:08.086;88;23,2
2026-03-04T15:44:08.896;90;23,2
2026-03-04T15:44:09.305;92;23,2
2026-03-04T15:44:10.518;93;42,8
2026-03-04T15:44:11.732;92;43,5
2026-03-04T15:44:12.137;92;43,5
2026-03-04T15:44:13.349;89;45,1
2026-03-04T15:44:14.160;89;47,1
2026-03-04T15:44:15.783;90;47,4
2026-03-04T15:44:16.186;90;47,4
2026-03-04T15:44:18.212;90;47,5
2026-03-04T15:44:18.617;91;47,9
2026-03-04T15:44:19.831;92;47,7
2026-03-04T15:44:20.236;94;46,8
2026-03-04T15:44:21.452;95;45,2
2026-03-04T15:44:22.267;97;45,8
2026-03-04T15:44:23.474;97;57,1
2026-03-04T15:44:24.691;96;57,1
2026-03-04T15:44:25.906;95;57,3
2026-03-04T15:44:26.716;92;58,0
2026-03-04T15:44:27.527;93;59,4
2026-03-04T15:44:28.336;94;59,0
2026-03-04T15:44:29.147;94;46,3
